2026-04-13T20:17:24.392Z | GET | / | 304 | 8ms
2026-04-13T20:17:29.337Z | GET | / | 304 | 1ms
2026-04-13T20:56:35.253Z | POST | /login | 404 | 6ms
2026-04-13T21:00:30.170Z | POST | /auth/login | 200 | 8ms
2026-04-13T21:01:15.528Z | POST | /auth/login | 200 | 2ms
2026-04-13T21:01:23.097Z | POST | /auth/login | 200 | 3ms
2026-04-13T21:01:52.264Z | POST | /secure-action | 401 | 0ms
2026-04-13T21:02:23.101Z | POST | /secure-action | 401 | 0ms
2026-04-13T21:02:41.292Z | POST | /secure-action | 401 | 0ms
2026-04-13T21:05:01.014Z | POST | /auth/login | 200 | 2ms
2026-04-13T21:05:44.255Z | POST | /auth/login | 200 | 2ms
2026-04-13T21:06:11.028Z | POST | /auth/login | 200 | 2ms
2026-04-13T21:06:34.126Z | POST | /auth/login | 200 | 2ms
2026-04-13T21:07:27.611Z | POST | /secure-action | 401 | 1ms
2026-04-13T21:10:36.611Z | POST | /auth/login | 200 | 8ms
2026-04-13T21:11:17.471Z | POST | /secure-action | 200 | 2ms
2026-04-13T21:12:21.389Z | POST | /auth/login | 200 | 8ms
2026-04-13T21:13:24.525Z | POST | /secure-action | 200 | 4ms
